Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94236.00 || 1000 || 125 || 1.0E-4 ||13
2 || 94852.00 || 1000 || 125 || 1.0E-4 ||12
3 || 93036.00 || 1000 || 125 || 1.0E-4 ||15
4 || 96076.00 || 1000 || 125 || 1.0E-4 ||12
5 || 93080.00 || 1000 || 125 || 1.0E-4 ||11
6 || 94612.00 || 1000 || 125 || 1.0E-4 ||11
7 || 96288.00 || 1000 || 125 || 1.0E-4 ||13
8 || 95172.00 || 1000 || 125 || 1.0E-4 ||14
9 || 94976.00 || 1000 || 125 || 1.0E-4 ||13
10 || 93700.00 || 1000 || 125 || 1.0E-4 ||13
