Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 14904.00 || 223 || 100 || 2648.00 || 32 || 640 || 7
2 || 27952.00 || 552 || 100 || 2244.00 || 32 || 640 || 17
3 || 6400.00 || 925 || 100 || 2920.00 || 32 || 640 || 30
4 || 36784.00 || 229 || 100 || 1978.00 || 32 || 640 || 7
5 || -196.00 || 345 || 100 || 3118.00 || 32 || 640 || 11
6 || 16580.00 || 526 || 100 || 2610.00 || 32 || 640 || 18
7 || 40152.00 || 359 || 100 || 1874.00 || 32 || 640 || 11
8 || 25792.00 || 477 || 100 || 2324.00 || 32 || 640 || 14
9 || 27628.00 || 519 || 100 || 2256.00 || 32 || 640 || 15
10 || 13612.00 || 350 || 100 || 2674.00 || 32 || 640 || 11
